Date,ABG.JO,AGL.JO,ANG.JO,DSY.JO,FSR.JO,GFI.JO,IMP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,PIK.JO,PRX.JO,REM.JO,SBK.JO,SLM.JO,SOL.JO,SPP.JO,TFG.JO,TKG.JO,VOD.JO,WHL.JO
2019-09-06,15947.322265625,32743.328125,31867.619140625,11802.12890625,6186.96923828125,7997.36572265625,8673.140625,17016.4765625,10293.900390625,23150.712890625,46223.89453125,5901.787109375,,12640.505859375,18352.298828125,7471.10986328125,26020.455078125,18173.466796875,14326.126953125,8189.615234375,11889.5576171875,5495.3408203125
2019-09-09,15998.10546875,32812.65234375,30323.70703125,11793.134765625,6180.9912109375,7568.2578125,8596.3515625,17373.626953125,10013.4208984375,23002.357421875,45748.55078125,5945.72607421875,,12768.5849609375,18260.662109375,7507.98583984375,26966.2734375,18436.083984375,14396.0966796875,7896.84423828125,11994.1591796875,5511.30712890625
2019-09-10,16031.9619140625,32747.23046875,29813.064453125,12107.9521484375,6148.107421875,7453.49658203125,8082.76416015625,17358.66015625,10007.4306640625,22991.404296875,45676.9921875,5954.7138671875,,12767.15625,18113.2578125,7516.95703125,26987.24609375,18362.1953125,14532.53515625,7694.00244140625,12103.740234375,5426.486328125
2019-09-11,15806.896484375,33335.03515625,30076.876953125,12183.9072265625,6140.1357421875,7459.484375,8437.787109375,17009.4921875,9963.5126953125,22907.94140625,49291.37109375,6125.4755859375,55177.140625,12732.80859375,18072.9453125,7644.53125,28029.94140625,18249.359375,14363.736328125,7694.00244140625,12103.740234375,5417.505859375
2019-09-12,16142.578125,33767.58984375,30457.607421875,12514.71484375,6334.44384765625,7405.59619140625,8975.30859375,16849.875,9901.626953125,23269.484375,50390.78125,6148.44384765625,53587.4140625,13097.013671875,18440.560546875,7724.265625,27835.185546875,18684.72265625,14732.8203125,7580.0908203125,12163.51171875,5572.17724609375
2019-09-13,16634.642578125,35018.3828125,27905.404296875,12942.466796875,6454.017578125,6815.822265625,8541.50390625,16760.0859375,10135.1953125,23758.51953125,49930.2578125,6141.4541015625,54475.1953125,12925.28515625,18707.556640625,7754.166015625,27820.205078125,18710.685546875,14781.7998046875,7545.1181640625,12335.8525390625,5667.97412109375
2019-09-16,17138.666015625,34310.48046875,28127.248046875,13354.2265625,6750.9619140625,6781.8935546875,8630.2578125,16760.0859375,10487.541015625,25023.439453125,50889.890625,6441.0361328125,53880.58984375,13237.2568359375,19257.4921875,7998.3525390625,30561.775390625,19645.318359375,15130.7705078125,7689.00634765625,12672.5673828125,5934.40966796875
2019-09-17,16658.548828125,34325.12109375,29029.61328125,12834.52734375,6448.03955078125,6846.7587890625,8975.30859375,16160.5166015625,10277.9296875,24112.103515625,49762.88671875,6238.31884765625,51660.48046875,12748.5498046875,18610.923828125,7841.87353515625,29063.6484375,19173.01171875,14561.3984375,7357.2646484375,12472.3330078125,5915.44873046875
2019-09-18,16664.52734375,34168.90234375,28924.68359375,12528.7060546875,6552.66748046875,7020.3984375,9113.9296875,15742.509765625,10312.865234375,24175.84375,48088.375,6241.3154296875,50063.859375,12500.263671875,18536.205078125,7874.765625,28735.060546875,19271.865234375,14496.6767578125,7434.205078125,12514.1708984375,5872.5185546875
2019-09-19,16666.517578125,33788.09375,28871.724609375,12192.90234375,6556.65283203125,7184.056640625,8939.4072265625,15867.212890625,10190.0927734375,24123.056640625,47632.265625,6150.44091796875,51081.015625,12695.6015625,18400.7109375,7824.9306640625,28426.443359375,19173.01171875,14212.427734375,7486.1640625,12440.4541015625,5736.783203125
2019-09-20,16236.208984375,34332.9453125,29601.216796875,11879.083984375,6447.04345703125,7457.4873046875,9330.33203125,16061.7490234375,10213.05078125,23596.171875,48991.421875,6290.24609375,51931.625,12664.833984375,18006.19921875,7596.69091796875,28528.318359375,19188.986328125,14192.3125,7437.20263671875,12518.15625,5810.6396484375
2019-09-23,16096.7548828125,33762.7109375,30542.552734375,11417.353515625,6391.24169921875,7784.80810546875,9498.8671875,15894.1494140625,9989.46484375,23201.759765625,47692.25,6111.49560546875,52212.40234375,12299.19921875,17849.7890625,7485.06298828125,27665.396484375,19085.138671875,14132.8388671875,7424.21240234375,12175.4658203125,5658.935546875
2019-09-25,15639.5546875,33430.73046875,31209.083984375,11265.4423828125,6209.36572265625,8103.1455078125,9628.51171875,15590.8720703125,9828.763671875,22708.740234375,46756.21484375,5917.76513671875,51437.04296875,11888.4873046875,17533.978515625,7360.478515625,26766.51953125,18638.7890625,13718.2744140625,7222.36962890625,11905.4970703125,5493.25927734375
2019-09-26,15987.1875,33505.9140625,30867.322265625,11569.265625,6378.802734375,8145.05810546875,9637.4892578125,16161.5146484375,9830.759765625,23143.9921875,46598.23828125,6066.5576171875,51060.37109375,12020.8583984375,18023.134765625,7533.89990234375,26398.982421875,19111.1015625,14179.193359375,7179.4033203125,12103.740234375,5608.03466796875
2019-09-27,15787.96875,34160.11328125,28805.76953125,11440.3408203125,6299.0673828125,7763.85107421875,9534.76953125,16060.7529296875,9766.8779296875,23107.13671875,46382.48046875,6045.5869140625,50991.08984375,11955.74609375,17713.302734375,7538.88330078125,26563.775390625,19243.908203125,14081.236328125,7094.46923828125,12046.9580078125,5584.08203125
2019-09-30,15227.1728515625,34344.65625,28389.0625,11398.3642578125,6198.40185546875,7596.19921875,9501.8603515625,15787.40234375,9612.1650390625,22591.212890625,45892.96484375,5945.72607421875,50788.76171875,11676.69140625,17403.466796875,7433.2353515625,25274.388671875,19073.15625,14296.3896484375,7053.50146484375,11918.4482421875,5497.25146484375
2019-10-01,15404.4775390625,34128.86328125,29435.330078125,11488.3125,6177.47265625,7808.75732421875,9673.3876953125,15994.908203125,9482.40625,22534.439453125,46011.9453125,5887.806640625,51487.51171875,11663.0947265625,17284.916015625,7452.171875,26167.271484375,19065.169921875,14141.583984375,7002.54150390625,11775.9931640625,5424.39453125
2019-10-02,15134.5361328125,33112.40625,29379.369140625,11394.4990234375,6088.76708984375,7851.66845703125,9962.591796875,16091.677734375,9282.7763671875,22310.33984375,44992.125,5793.93701171875,49641.765625,11653.0791015625,17235.103515625,7428.25244140625,25583.00390625,18877.443359375,14216.80078125,6880.63623046875,11647.482421875,5312.61279296875
2019-10-03,15072.7822265625,32475.787109375,30278.736328125,11372.5087890625,6124.64794921875,7977.40673828125,10212.9052734375,15863.2216796875,9212.90625,22160.94140625,44989.125,5713.0498046875,49660.57421875,11516.4130859375,17304.837890625,7419.28173828125,25070.64453125,18961.318359375,14336.6240234375,6960.57373046875,11596.677734375,5308.62109375
2019-10-04,15215.2197265625,32682.7890625,29509.275390625,11491.4521484375,6296.078125,7810.75341796875,10292.6845703125,15862.22265625,9557.267578125,22409.94140625,45090.10546875,5900.78955078125,49473.38671875,11677.4072265625,17388.525390625,7549.84765625,25188.494140625,19005.2578125,14474.810546875,7348.271484375,11919.4453125,5409.423828125
2019-10-07,15137.525390625,33302.80859375,31076.171875,11610.3935546875,6334.94921875,8213.9150390625,10398.39453125,15859.23046875,9529.3193359375,22279.466796875,45445.44140625,6166.41943359375,49825.28515625,11698.8720703125,17284.916015625,7567.78759765625,26818.458984375,19254.890625,14389.97265625,7289.3173828125,11875.6103515625,5467.31005859375
